run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,700.0,1.2998984417027117e-10,1.3978194616493235e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,750.0,1.6661817846583605e-10,1.7924680122199313e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,775.0,1.8760434774014486e-10,2.01376860290185e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,800.0,2.1662372748966472e-10,2.6660099906629015e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,825.0,2.838498005084331e-10,3.5709694752550295e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,850.0,3.367170732005296e-10,5.964162415562059e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,875.0,3.45171796013947e-10,8.953960079682969e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,900.0,3.08558149439639e-10,6.464510499260306e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,925.0,2.4837554240315123e-10,3.8502081763363946e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,950.0,1.717761228553055e-10,3.391142819016418e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,975.0,1.0367759170511923e-10,2.337639100905095e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,1000.0,6.08969232715158e-11,8.023113126995739e-11
r2p8_w256_di32,4,1696,temperature,1.0,75.19899358061171,317.485802006148
r2p8_w256_di32,4,1696,temperature,2.0,49.46142185905955,776.6778637863107
r2p8_w256_di32,4,1696,temperature,3.0,32.390100264139605,983.1330636879833
r2p8_w256_di32,4,1696,temperature,5.0,18.356825226852575,755.512925693997
r2p8_w256_di32,4,1696,temperature,7.0,12.234180402919598,535.3591367111993
r2p8_w256_di32,4,1696,temperature,10.0,6.932305318301486,367.73817858089694
r2p8_w256_di32,4,1696,temperature,20.0,5.231110039609405,50.76803282904871
r2p8_w256_di32,4,1696,temperature,30.0,3.8718095885928965,4.992225449519469
